doctor_id,doctor_name,specialization,total_orders,total_revenue_generated
135,Dr. Dana Jennings,Pulmonologist,297,88098209.61
43,Dr. Jamie Robertson,General Physician,299,78181024.67
4,Dr. Timothy Reynolds,General Physician,281,77144978.38
72,Dr. William Gutierrez,Pulmonologist,291,75080064.5
78,Dr. Donna Watson,Endocrinologist,272,74891148.1
200,Dr. David Williams,General Physician,256,74290108.52
158,Dr. Michael Peterson,General Physician,277,73927676.41
184,Dr. Kevin Benson,Endocrinologist,252,73618930.62
140,Dr. Trevor Ross,Cardiologist,261,73568566.83
62,Dr. Laurie Pierce,Orthopedic,270,73451920.23
104,Dr. Robin Brock,Neurologist,255,73435020.7
9,Dr. Mary Snow,Cardiologist,284,73378396.52
128,Dr. Danielle Rodriguez,Neurologist,263,73353917.59
27,Dr. Kyle Kaiser,Cardiologist,285,73284652.68
149,Dr. Craig Harris,Endocrinologist,259,73197531.02
40,Dr. Hannah Campbell,General Physician,251,73087069.64
110,Dr. Perry Black,Endocrinologist,246,73028196.65
94,Dr. Jenna Ramsey,Endocrinologist,269,72660295.03
36,Dr. Michelle Johnson,Dermatologist,267,72652545.5
150,Dr. Amanda Rose MD,Orthopedic,244,72214551.39
187,Dr. Shane Greene,Neurologist,286,72214199.24
172,Dr. Marc Glenn,General Physician,286,71932371.52
166,Dr. Ronald Young,Pulmonologist,267,71851765.54
193,Dr. Jean Brown,General Physician,254,71392796.44
61,Dr. Wyatt Cortez,Cardiologist,264,71242533.81
22,Dr. Amanda Lloyd,Neurologist,261,71201454.87
51,Dr. Brandy Moreno,General Physician,243,71032174.94
103,Dr. Laura Garner,Cardiologist,278,70781764.96
26,Dr. Robert Gomez,Pulmonologist,263,70771950.46
197,Dr. Kevin Lee,General Physician,280,70669748.13
48,Dr. Eric Howe,Neurologist,278,70420314.38
125,Dr. Scott Pineda,Dermatologist,259,70397184.18
41,Dr. Jennifer Snow,Orthopedic,259,70323137.29
38,Dr. Stephen Wolf,Cardiologist,272,70221590.47
33,Dr. Terri Roberts,General Physician,269,70216668.65
91,Dr. Shannon Turner,Pulmonologist,274,70019416.17
130,Dr. Cody Mccoy,Dermatologist,255,69750988.96
145,Dr. William Morse,Cardiologist,273,69605922.35
141,Dr. Sherri Gray,Neurologist,253,69603249.59
111,Dr. Scott Bond,Cardiologist,257,69551185.34
77,Dr. David Anderson,General Physician,277,69495038.83
88,Dr. Lauren James,Neurologist,277,69244975.87
131,Dr. Andrea Bass,General Physician,254,69158991.74
196,Dr. Gabriel Jones,Cardiologist,270,69122003.08
47,Dr. Rebecca Nicholson,Cardiologist,266,68805987.45
68,Dr. Bobby Walker,General Physician,250,68687732.64
85,Dr. Joshua Wilson,Pulmonologist,245,68435494.79
75,Dr. Charles Moore,Orthopedic,250,68421249.01
8,Dr. Samuel Powers,Cardiologist,265,68328810.33
156,Dr. Darren Hall,Pulmonologist,263,68274118.39
160,Dr. Michael Cardenas,Cardiologist,272,68264652.53
60,Dr. Glenn Lawrence,Pulmonologist,250,68167135.33
1,Dr. Valerie Jensen,Cardiologist,255,68117764.51
183,Dr. Dennis Turner,Cardiologist,259,68090232.41
23,Dr. Mary Cruz,Cardiologist,256,68046401.14
29,Dr. Olivia Herrera MD,Endocrinologist,242,68027236.35
19,Dr. Paul Oconnor,General Physician,263,67930784.55
182,Dr. Lisa Michael,Cardiologist,272,67827850.17
176,Dr. Phillip Lowery,General Physician,246,67806712.18
39,Dr. Virginia Watson,General Physician,249,67572225.07000001
129,Dr. Paul Duarte,Cardiologist,262,67400878.98
122,Dr. Travis Hernandez,Cardiologist,262,67376739.96
37,Dr. Amber Ross,General Physician,273,66991529.93
155,Dr. Felicia Vargas,General Physician,265,66919756.15
105,Dr. Morgan Boone,General Physician,250,66901749.21
52,Dr. Jessica Chang,Orthopedic,246,66865281.88
86,Dr. Kent Freeman,Cardiologist,259,66822944.43
102,Dr. Timothy French,Cardiologist,264,66804374.92
69,Dr. Eric Giles,Endocrinologist,265,66773656.08
10,Dr. Cynthia Anderson,Cardiologist,258,66746431.01
79,Dr. Jocelyn Charles,Cardiologist,270,66733006.38
98,Dr. Christian Shelton,Orthopedic,245,66691396.08
116,Dr. Isaac Smith,General Physician,273,66678757.05
73,Dr. Jose Crawford,General Physician,265,66498844.8
113,Dr. Brady Padilla,Orthopedic,253,66460603.87
96,Dr. Andrew Hahn,Cardiologist,258,66321913.95
