mr_id,mr_name,territory,total_transactions,total_revenue_generated,avg_revenue_per_sale
7,Sean Fisher DVM,East Zone,1046,274913836.96,262823.94
50,Monica Collins,North Zone,1035,273967020.52,264702.44
11,Christopher Ryan,North Zone,1005,272805146.82,271447.91
49,Haley Smith,East Zone,1020,272310245.27,266970.83
31,Courtney Bryant,South Zone,1034,271764499.1,262828.34
35,David Collins,North Zone,1051,270378672.5,257258.49
34,Steven Shelton,North Zone,1012,270244197.31,267039.72
12,Tonya Holland,South Zone,1053,269711176.85,256135.97
45,Marc Watson,North-East Zone,1047,268743673.31,256679.73
41,Mr. Travis Nguyen,East Zone,1026,268000326.73,261208.9
39,Thomas Ross,East Zone,1001,267412634.69,267145.49
43,Christian Holland,North-East Zone,1042,267335620.98,256560.1
22,Michele Stewart,South Zone,1011,267073567.44,264167.72
8,Madison Boyd,East Zone,1020,266974968.82,261740.17
30,Melissa Thompson,East Zone,1039,265993104.85,256008.76
9,Rebecca Robinson,East Zone,1000,264635696.48,264635.7
14,Rebecca Miller,North Zone,1033,264563907.55,256112.2
1,Christian Johnson,Central Zone,1028,264504357.78,257299.96
16,Thomas Harmon,East Zone,1047,264092810.53,252237.64
46,Bonnie Hall,Central Zone,1000,262922069.57,262922.07
28,Laurie Ramirez,West Zone,1004,262850806.65,261803.59
4,Meghan Hernandez,North Zone,998,260988598.7,261511.62
13,Melinda Buck,Central Zone,984,259664987.6,263887.18
24,James Vasquez,East Zone,1012,258936800.83,255866.4
40,Carlos Davis,Central Zone,1001,258332997.04,258074.92
42,Dr. Tyler Adams DVM,Central Zone,988,258016745.6,261150.55
32,Samantha Garcia,West Zone,1042,257599697.16,247216.6
23,Michelle Mitchell,Central Zone,1024,257070583.72,251045.49
38,Brooke Allen,South Zone,988,256438563.6,259553.2
47,Teresa Townsend,West Zone,1024,255980525.38,249980.98
25,Nicole Navarro,South Zone,955,254495712.39000002,266487.66
6,Jennifer Pruitt,West Zone,997,254382966.94,255148.41
21,Charles Gordon,Central Zone,991,254216179.02,256524.9
18,Briana Hart,South Zone,989,252866857.25,255679.33
20,Jennifer Hancock,East Zone,997,252407251.24,253166.75
3,Debra Greer,North-East Zone,989,251899797.17,254701.51
10,Victoria Nelson,South Zone,981,249980011.7,254821.62
37,Kelly Brooks,North Zone,988,249740860.27,252774.15
33,Timothy Hall,North Zone,989,249569736.91,252345.54
26,Roberta Adams,North-East Zone,964,249465110.13,258781.23
36,Edward Alvarez,West Zone,976,248334350.15,254440.93
48,Sarah Short,North Zone,981,247644827.08,252441.21
29,Richard Lawrence,South Zone,980,247209295.61,252254.38
2,Crystal Larson,Central Zone,1000,246635552.87,246635.55
27,Craig Blanchard,East Zone,1033,243170343.05,235402.07
15,Kurt Clarke,North Zone,962,242523267.64,252103.19
44,Theresa Long,West Zone,996,241166574.22,242135.11
19,Wesley Brown,East Zone,954,240753291.31,252361.94
5,Michael Goodwin,East Zone,1004,240547742.79,239589.39
17,Cynthia Nguyen,North Zone,959,237528924.08,247683.97
